target,predicted
napakaɡan'da naŋ ma'ŋa bitu'ʔin,napakaɡanda ŋ mɡa bituin!
mala'miɡ kaɡa'bi,malamiɡ kaɡabi
naɡ'baɡo si 'tom,naɡbaɡo si tom
wa'laʔ si'jaŋ 'pensil,wala sijaŋ pensil
sinu'ɡod ni'la ʔaŋ ʔi'saŋ 'ɡɾupo naŋ ma'ŋa pɾan'ses ʔat pina'taj ʔaŋ sam'puʔ 'dito,sinuɡod nila aŋ isaŋ ɡɾupo ŋ mɡa pɾanses at pinataj aŋ sampu dito
mala'ki ʔaŋ 'bahaj ko,malaki aŋ bahaj ko
si'a ʔaj nakakala'ŋoj naŋ 'mas ma'lajoʔ kaj'sa sa 'ʔakin,sija aj nakakalaŋoj naŋ mas malajo kajsa sa akin
naˌkaka'takot tala'ɡa ʔaŋ daʔiɡ'diɡ sa la'bas,nakakatakot talaɡa aŋ daiɡdiɡ sa labas
ʔa'no ʔaŋ ɡus'toŋ mala'man ni 'tom,ʔano aŋ ɡustoŋ malaman ni tom?
ma'hal ʔa'ko ni 'tom,mahal ako ni tom
hin'diʔ pinaniwala'ʔan naŋ pu'lis ʔaŋ 'kwento ni 'tom,hindi pinaniwalaan ŋ pulis aŋ kwento ni tom
mali'ʔit 'lamaŋ ʔaŋ bini'sita 'koŋ baɾaŋ'ɡaj sa na'ɡano pɾe'fektʃuɾ no'ʔoŋ nakaɾa'ʔaŋ taɡʔa'ɾaw,maliit lamaŋ aŋ binisita koŋ baɾaŋɡaj sa naɡano pɾefektuɾe nooŋ nakaɾaaŋ taɡ-aɾaw
ɡa'waŋ 'kahoj ʔaŋ kas'tiljo ni'a,ɡawaŋ kahoj aŋ kastiljo nija
ma'ʔiŋat na ma'ʔiŋat si'a ka'jaʔ hin'diʔ si'a mada'las naɡkaˌkama'liʔ,maiŋat na maiŋat sijaˌ kaja hindi sija madalas naɡkakamali
ʔi'saŋ 'pusaʔ ʔaŋ luma'bas sa ʔi'lalim naŋ la'mesa,ʔisaŋ pusa aŋ lumabas sa ilalim ŋ lamesa
'bakit ka'jo nandi'an,bakit kajo nandijan?
binibi'niŋ kate'ɾina wa'laʔ na ʔa'koŋ masa'sabi,binibiniŋ kateɾinaˌ wala na akoŋ masasabi
'dapat naɡtaɡ'poʔ 'tajo naŋ ʔa'las si'ete,dapat naɡtaɡpo tajo naŋ alas sijete
ʔa'no ʔaŋ pabo'ɾito moŋ 'ʔuɾiʔ naŋ paɡ'kaʔin,ʔano aŋ paboɾito moŋ uɾi ŋ paɡkain?
kaʔi'laŋan 'koŋ ʔuma'lis,kailaŋan koŋ umalis
ʔa'ko 'laŋ ba ʔaŋ kaʔi'biɡan moŋ hin'diʔ ˌd͡ʒapa'nis,ʔako laŋ ba aŋ kaibiɡan moŋ hindi d͡ʒapanese?
ma'ɾunoŋ si'a naŋ kon'tiŋ ʔiŋ'ɡles,maɾunoŋ sija ŋ kontiŋ iŋles
maj 'ɡɾabeŋ pɾo'blema 'tajo 'ɾito,maj ɡɾabeŋ pɾoblema tajo ɾito
wa'laŋ dahi'lan 'paɾa ma'takot,walaŋ dahilan paɾa matakot
naɡʔa'ʔaɾal si'a naŋ ʔiŋ'ɡles 'ʔaɾaw'ʔaɾaw,naɡ-aaɾal sija ŋ iŋles aɾaw-aɾaw
ʔi'saŋ si'ɾena si 'meɾi,ʔisaŋ siɾena si maɾj
pawa'laŋ'ɡalaŋ 'poʔ 'peɾo pu'ede ba 'po nin'joŋ sa'bihin sa 'ʔakin kuŋ sa'ʔan ʔaŋ paɡpa'lit naŋ 'tɾen,pawalaŋɡalaŋ poˌ peɾo puwede ba po niɲoŋ sabihin sa akin kuŋ saan aŋ paɡpalit ŋ tɾen?
naɡ'basa ʔa'ko naŋ ʔak'lat kaɡa'bi,naɡbasa ako ŋ aklat kaɡabi
'ʔiŋat,ʔiŋat!
mala'ki ʔaŋ ɡi'nastos sa 'baɡoŋ tu'laj,malaki aŋ ɡinastos sa baɡoŋ tulaj
maj dala'waŋ ʔa'nak na ba'baʔe si'la,maj dalawaŋ anak na babae sila
ʔa'noŋ 'tɾen ʔaŋ sasakja'nan mo,ʔanoŋ tɾen aŋ sasakjanan mo?
ʔa'ko 'ɾin,ʔako ɾin!
kumikid'lat 'baɡo kumu'loɡ,kumikidlat baɡo kumuloɡ
tala'ɡaŋ naˌkakaʔi'nis ŋa'jon ʔaj sumasa'kit pa'laɡiʔ ʔaŋ 'ʔulo ko kuŋ ɡuma'ɡamit naŋ kom'pjuteɾ,talaɡaŋ nakakainis ŋajon aj sumasakit palaɡi aŋ ulo ko kuŋ ɡumaɡamit ŋ kompjuteɾ!
mala'miɡ ʔaŋ paɡ'kaʔin,malamiɡ aŋ paɡkain
nasa'ʔan ʔaŋ maɡʔaʔa'ɾal,nasaan aŋ maɡ-aaɾal?
ʔi'ak si'a naŋ ʔi'ak,ʔijak sija ŋ ijak
hu'aɡ moŋ kalimu'taŋ ʔi'sama ʔa'ko sa mabi'bilaŋ,huwaɡ moŋ kalimutaŋ isama ako sa mabibilaŋ
pinaja'ɡan ko ʔaŋ 'ʔakiŋ 'ʔaso na tumak'bo na maj kalaja'ʔan,pinajaɡan ko aŋ akiŋ aso na tumakbo na maj kalajaan
diʔ 'baɡoŋ ʔaɡ'ham ta'laɡaʔ ʔaŋ ʔastɾono'mia,di baɡoŋ aɡham talaɡa aŋ astɾonomija
bili'san mo 'tom,bilisan moˌ tom
nakati'ɾa si'a naŋ sa'ɾili sa 'ɡubat,nakatiɾa sija naŋ saɾili sa ɡubat
majɾo'ʔon ʔa'koŋ li'maŋ ma'ŋa kaʔi'biɡan,majɾoon akoŋ limaŋ mɡa kaibiɡan
si'ɡuɾo 'tamaʔ ka,siɡuɾo tama ka
pa'ʔano ka pumu'punta sa ˌpaʔaɾa'lan,paano ka pumupunta sa paaɾalan?
ʔi'on ʔaj salamaŋ'kaŋ 'numeɾo,ʔijon aj salamaŋkaŋ numeɾo
nakatin'diɡ si'a,nakatindiɡ sija
na'saʔ kani'la 'juŋ ka'bajo,nasa kanila juŋ kabajo
ʔa'no ba ʔaŋ wabi'sabi,"ʔano ba aŋ ""wabi-sabi""?"
kuŋ maɡan'da 'bukas maɡpipik'nik 'tajo,kuŋ maɡanda bukasˌ maɡpipiknik tajo
wa'laʔ daw masusu'ʔot si 'meɾi,wala daw masusuot si maɾj
ʔa'ko ʔaj ˌmamamaha'jaɡ,ʔako aj mamamahajaɡ
si'nisi ko si'a sa kasa'lanan ni'a,sinisi ko sija sa kasalanan nija
ta'kot si'a sa ma'ŋa 'ʔaso,takot sija sa mɡa aso
naɾi'to pa ba si'a no'ʔoŋ ʔi'kaw ʔaj duma'tiŋ,naɾito pa ba sija nooŋ ikaw aj dumatiŋ?
diʔ ko ki'ta ʔaŋ kaʔiba'han,di ko kita aŋ kaibahan
ʔi'sa si'aŋ 'naɾs hin'diʔ dok'toɾ,ʔisa sijaŋ naɾsˌ hindi doktoɾ
kaʔi'laŋan ko ta'pusin 'jun,kailaŋan ko tapusin jun
naʔi'nom ʔaŋ ma'ŋa ʔele'pante naŋ 'tubiɡ,nainom aŋ mɡa elepante ŋ tubiɡ
bumi'li si to'mas ʔat ma'ɾia naŋ 'bahaj na maj palaŋu'jan,bumili si tomas at maɾia ŋ bahaj na maj palaŋujan
binili'san ko ʔumu'iʔ,binilisan ko umuwi
sun'dan mo ʔaŋ 'taʔoŋ ʔi'on,sundan mo aŋ taoŋ ijon
ki'naʔin ni 'tom ʔaŋ 'kendi mo,kinain ni tom aŋ kendi mo
pa'ʔano mo ɡus'to ʔaŋ ka'pe mo,paano mo ɡusto aŋ kape mo?
ʔa'kalaʔ ni'la hin'diʔ ni'a naɡustu'han ʔaŋ ɾe'ɡalo,ʔakala nila hindi nija naɡustuhan aŋ ɾeɡalo
masasa'ɾap ʔaŋ kani'laŋ ma'ŋa 'kejk,masasaɾap aŋ kanilaŋ mɡa kejk
naki'lala ko si'a ki'na 'tom,nakilala ko sija kina tom
ʔa'lam 'ŋaʔ 'namin ʔi'on,ʔalam ŋa namin ijon
ˌbaba'lik si'a 'bukas,babalik sija bukas
hin'diʔ ʔa'ko sasa'ɡot ka'paɡ itata'noŋ ni'a sa 'ʔakin ʔaŋ ta'noŋ na ʔi'on,hindi ako sasaɡot kapaɡ itatanoŋ nija sa akin aŋ tanoŋ na ijon
ʔaŋ ma'ŋa ʔital'jano ʔaj kuma'kaʔin naŋ 'pasta,ʔaŋ mɡa italjano aj kumakain ŋ pasta
si'a ʔaj nakapu'la,sija aj nakapula
ʔi'laŋ maŋ'kok naŋ 'kanin ʔaŋ ki'naʔin mo,ʔilaŋ maŋkok ŋ kanin aŋ kinain mo?
ʔinis'toɾbo 'namin si'a,ʔinistoɾbo namin sija
'ʔoʔo maj maɡan'daŋ ʔi'dea ʔa'ko,ʔooˌ maj maɡandaŋ ideja ako
hin'diʔ ʔumu'iʔ sa 'bahaj si 'stiv,hindi umuwi sa bahaj si steve
wa'laʔ ʔa'ko ɾo'ʔon,wala ako ɾoon
ʔi'saŋ 'ʔaso ʔaŋ nasaɡasa'ʔan naŋ 'tɾak,ʔisaŋ aso aŋ nasaɡasaan ŋ tɾak
sa'bihin mo sa la'hat na ʔuʔu'iʔ na ʔa'ko,sabihin mo sa lahat na uuwi na ako
diʔ 'baŋ naɡta'ɡal si'la sa 'bajan,di baŋ naɡtaɡal sila sa bajan?
tumak'bo si'a,tumakbo sija
'bakit mo ʔa'ko pinaɡsususpe't͡ʃahan,bakit mo ako pinaɡsususpetsahan?
hu'aɡ mo ka'miŋ tawa'ɡan ka'mi ʔaŋ ta'tawaɡ sa'jo,huwaɡ mo kamiŋ tawaɡan kami aŋ tatawaɡ sa'jo
hin'diʔ masa'ɾap ʔaŋ 'pɾutas na ʔi'to,hindi masaɾap aŋ pɾutas na ito
pa'ʔano ka naka'pasok sa 'kwaɾto,paano ka nakapasok sa kwaɾto?
'dapat ʔi'tapon 'natin ʔaŋ ɡan'jaŋ ʔi'dejaŋ ʔitinak'daʔ,dapat itapon natin aŋ ɡaɲaŋ idejaŋ itinakda
hinihi'ŋal si'a,hinihiŋal sija
naɡsimu'laŋ maɡtɾa'baho ʔaŋ kan'jaŋ ʔa'sawa 'dahil sa paŋaŋaʔi'laŋan,naɡsimulaŋ maɡtɾabaho aŋ kaɲaŋ asawa dahil sa paŋaŋailaŋan
ja'kapin mo si 'tom,jakapin mo si tom
naɡsasali'taʔ ʔaŋ la'hat sa sansinu'kob wa'laŋ 'baɡaj na diʔ majɾo'ʔon naŋ sa'ɾiliŋ 'wikaʔ,naɡsasalita aŋ lahat sa sansinukob; walaŋ baɡaj na di majɾoon ŋ saɾiliŋ wika
kuŋ ʔa'ko sa'jo maɡʔaʔap'lay ʔa'ko sa tɾa'baho,kuŋ ako sa'jo maɡ-aaplj ako sa tɾabaho
ʔa'ɾej mala'kiŋ 'mapa naŋ ʔale'manja,ʔaɾe'j malakiŋ mapa ŋ alemaɲa
nasa'ʔan 'juŋ lib'ɾo,nasaan juŋ libɾo?
nani'ɾahan ʔa'ko sa 't͡ʃina sa lo'ʔob naŋ 'ʔanim na bu'an,naniɾahan ako sa tsina sa loob ŋ anim na buwan
tini'tiɡan ni'a ʔaŋ kan'jaŋ ma'ŋa ku'ko,tinitiɡan nija aŋ kaɲaŋ mɡa kuko
su'eɾte 'lamaŋ na na'kita ko i'toŋ lib'ɾo sa tin'dahan naŋ ma'ŋa 'lumaŋ lib'ɾo,suweɾte lamaŋ na nakita ko itoŋ libɾo sa tindahan ŋ mɡa lumaŋ libɾo
'sinoŋ maɡsasali'taʔ ŋa'joŋ ɡa'bi,sinoŋ maɡsasalita ŋajoŋ ɡabi?
maʔa'ʔaɾiʔ 'baŋ maha'waʔ ʔaŋ i'baŋ 'taʔo,maaaɾi baŋ mahawa aŋ ibaŋ tao?
naŋi'baŋ ban'saʔ ka na ba,naŋibaŋ bansa ka na ba?
maɡan'daŋ ʔu'maɡa 'ʔoɾas naŋ ɡu'misiŋ,maɡandaŋ umaɡa oɾas naŋ ɡumisiŋ
hu'aɡ tu'mapak sa damu'han,huwaɡ tumapak sa damuhan!
nakipaɡkama'jan ʔa'ko sa kani'a,nakipaɡkamajan ako sa kanija
ʔi'saŋ 'noldo ba ʔaŋ 'nasa ʔi'lalim naŋ 'punoʔ,ʔisaŋ noldo ba aŋ nasa ilalim ŋ puno?
hin'diʔ kuma'kaʔin naŋ kaɾ'ne 'ʔo ʔit'loɡ si 'tom,hindi kumakain ŋ kaɾne o itloɡ si tom
'ʔeto ʔaŋ 'bataŋ la'laki,ʔeto aŋ bataŋ lalaki
pu'nan ʔaŋ 'poɾm ɡa'mit ʔaŋ ʔi'saŋ 'bolpen,punan aŋ poɾm ɡamit aŋ isaŋ bolpen
ma'ɾami tala'ɡaŋ 'jelo no'ʔoŋ nakali'pas na ta'ʔon,maɾami talaɡaŋ jelo nooŋ nakalipas na taon
'sinoŋ 'mas maɡa'liŋ lumi'pad ʔi'saŋ 'laŋaw 'ʔo ʔi'saŋ pi'loto,sinoŋ mas maɡaliŋ lumipadˌ isaŋ laŋaw o isaŋ piloto?
sinu'latan ko si'a 'ʔaɾaw'ʔaɾaw,sinulatan ko sija aɾaw-aɾaw
majɾo'ʔoŋ 'baɡoŋ 'kot͡ʃe ʔaŋ 'ʔakiŋ ʔa'ma,majɾooŋ baɡoŋ kotse aŋ akiŋ ama
'mas matan'daʔ ʔa'ko,mas matanda ako
mas'jadoŋ maba'ʔit si 'kjoko 'paɾa bu'hatin ʔaŋ ba'ɡahe ko 'paɾa sa 'ʔakin,maʃadoŋ mabait si kjoko paɾa buhatin aŋ baɡahe ko paɾa sa akin
'ʔunaŋ 'beses mo ba ʔi'to sa ha'pon,ʔunaŋ beses mo ba ito sa hapon?
ʔina'ɾesto si 'tom ʔu'maɡa naŋ 'lunes,ʔinaɾesto si tom umaɡa ŋ lunes
simu'lan ʔaŋ paɡkan'ta,simulan aŋ paɡkanta
ʔaŋ ha'pon ʔaj mala'maŋ na kila'lanin sa 'ɡɾupo ni'laŋ pinaŋɡaɡa'liŋan,ʔaŋ hapon aj malamaŋ na kilalanin sa ɡɾupo nilaŋ pinaŋɡaɡaliŋan
maj sa'kit ʔaŋ 'lolo ko,maj sakit aŋ lolo ko
pa'boɾ si'la sa 'plano mo,paboɾ sila sa plano mo
ʔaŋ 'bahoʔ naŋ sa'patos mo,ʔaŋ baho ŋ sapatos mo
ʔaŋ ma'ŋa ʔa'sal ni'a ʔaj hin'diʔ 'tulad naŋ ʔi'saŋ ba'baʔe,ʔaŋ mɡa asal nija aj hindi tulad ŋ isaŋ babae
ma'babaw pa nakaka'tapak pa ʔa'ko sa ʔi'lalim ma'babaw ʔaŋ dalampa'siɡaŋ ʔi'to jo'tsuba naʔaʔa'pakan mo pa ʔaŋ ʔi'lalim hin'diʔ ba,"""mababaw pa nakakatapak pa ako sa ilalim"" ""mababaw aŋ dalampasiɡaŋ ito jotsubaˌ naaapakan mo pa aŋ ilalimˌ hindi ba?"""
maj 'ʔaso si'a,maj aso sija
pu'noʔ ʔi'on,puno ijon
papun'taŋ 'finland ʔaŋ baɾ'ko,papuntaŋ finland aŋ baɾko
hin'diʔ ʔa'ko maɡba'baɡo,hindi ako maɡbabaɡo
'saɡiŋ ʔa'ko,saɡiŋ ako
siɾa'ʔin mo ʔaŋ naˌkaka'siɾaʔ sa ʔi'o,siɾain mo aŋ nakakasiɾa sa ijo
'ʔoɾas la'maŋ ʔaŋ maɡsasa'bi,ʔoɾas lamaŋ aŋ maɡsasabi
'tila maj hin'diʔ naɡkaʔintindi'han,tila maj hindi naɡkaintindihan
'dati naŋ nahu'li si 'betti 'dahil sa paɡna'nakaw,dati naŋ nahuli si bettj dahil sa paɡnanakaw
mamama'taj ba ʔa'ko hin'diʔ maɡpapahi'ŋa ka,"""mamamataj ba ako?"" ""hindiˌ maɡpapahiŋa ka"""
naɡsa'jaw si'la,naɡsajaw sila
ʔaŋ 'dami 'koŋ hin'diʔ naɡustu'han sa pe'likulaŋ ʔi'on,ʔaŋ dami koŋ hindi naɡustuhan sa pelikulaŋ ijon
maj ʔak'lat ba sa ʔi'babaw naŋ 'mesa,maj aklat ba sa ibabaw ŋ mesa?
ma'ɾamiŋ sa'lamat sa 'tuloŋ,maɾamiŋ salamat sa tuloŋ
'naʔis 'koŋ maɡba'saʔ,nais koŋ maɡbasa
kaʔi'laŋan moŋ bu'maŋon naŋ ʔa'las se'ʔis,kailaŋan moŋ bumaŋon naŋ alas seis
nasu'noɡ,nasunoɡ
maj konek'sjon ʔaŋ la'hat,maj konekʃon aŋ lahat
ʔu'lan ʔu'lan lu'majas ka,ʔulanˌ ulanˌ lumajas ka!
maɡda'la naŋ paɡ'kaʔin,maɡdala ŋ paɡkain
maj da'lawaŋ kundi'ʃon ʔa'ko,maj dalawaŋ kundiʃon ako
wa'laŋ naɡbi'ɡaj sa 'ʔakin ni'an,walaŋ naɡbiɡaj sa akin nijan
wa'laŋ sa'bon,walaŋ sabon
madi'lim ka'jaʔ tiŋ'nan ʔaŋ dinada'ʔanan,madilimˌ kaja tiŋnan aŋ dinadaanan
maj maɡaɡan'daŋ ʔaɾkitek'tuɾa ʔaŋ ma'ŋa da'juhaŋ ban'saʔ,maj maɡaɡandaŋ aɾkitektuɾa aŋ mɡa dajuhaŋ bansa
ɡu'mana ju'ʔon,ɡumana joon
maput'laŋ ʔa'sul na kuɾ'bata ʔaŋ sinu'ʔot ni'a,maputlaŋ asul na kuɾbata aŋ sinuot nija
mabu'lok ka sa ʔimpi'eɾno,mabulok ka sa impijeɾno!
dalawam'puŋ paŋ'kat ʔaŋ pu'masok sa toɾ'neo,dalawampuŋ paŋkat aŋ pumasok sa toɾneo
paɡka'tapos naŋ ma'ʔinit na pana'hon na'ɡiŋ mala'miɡ,paɡkatapos ŋ mainit na panahonˌ naɡiŋ malamiɡ
'laɡiŋ maɡan'da ʔaŋ sina'sabi tuŋ'kol kaj 'tom,laɡiŋ maɡanda aŋ sinasabi tuŋkol kaj tom
namu'lok na ʔi'toŋ 'saɡiŋ,namulok na itoŋ saɡiŋ
tiŋ'nan mo ʔaŋ ɡina'waʔ ko,tiŋnan mo aŋ ɡinawa ko
naɡta'pos ʔaŋ diɡ'maʔan sa taɡum'paj 'paɾa sa ʔa'lajd 'paweɾs,naɡtapos aŋ diɡmaan sa taɡumpaj paɾa sa allied poweɾs
papata'jin si'a naŋ 'ʔamo ni'a,papatajin sija ŋ amo nija
ʔaɡ'ham naŋ sansinu'kob ʔaŋ ʔastɾono'mia,ʔaɡham ŋ sansinukob aŋ astɾonomija
tata'waɡan ʔu'liʔ ki'ta,tatawaɡan uli kita
kuŋ 'mas posi'tibo 'laŋ si 'tom si'ɡuɾo 'mas maˌɡuɡustu'han si'a naŋ ma'ŋa 'taʔo,kuŋ mas positibo laŋ si tomˌ siɡuɾo mas maɡuɡustuhan sija ŋ mɡa tao
naŋʔis'daʔ ka'mi sa 'lawaʔ,naŋisda kami sa lawa
bina'lik ni 'tom ʔaŋ da'mit 'kasi masi'jado i'toŋ mali'ʔit,binalik ni tom aŋ damit kasi masijado itoŋ maliit
taŋ'haliʔ na ka'jaʔ pata'jin mo ʔaŋ telebis'jon,taŋhali naˌ kaja patajin mo aŋ telebiʃon
'dito ta'joʔ ku'maʔin,dito tajo kumain
nasa'ʔan na 'juŋ ʔi'ba 'paŋ 'fajlz,nasaan na juŋ iba paŋ files?
hu'aɡ 'natiŋ pabaja'ʔaŋ mawa'laʔ sa 'ʔatin ʔaŋ paɡkakata'ʔoŋ ʔi'to,huwaɡ natiŋ pabajaaŋ mawala sa atin aŋ paɡkakataoŋ ito
ʔuma'lis si'a naŋ hin'diʔ naɡpapaʔa'lam,ʔumalis sija naŋ hindi naɡpapaalam
hin'diʔ mo ki'lala ʔaŋ ma'ŋa ˌkapit'bahaj mo di'ba,hindi mo kilala aŋ mɡa kapitbahaj moˌ 'diba?
pinaɡhaha'hanap si'a naŋ ma'ŋa pu'lis,pinaɡhahahanap sija ŋ mɡa pulis
'fɾits ʔaŋ pa'ŋalan naŋ 'tataj ko,fɾitz aŋ paŋalan ŋ tataj ko
naɡbi'lad si'la sa 'ʔaɾaw,naɡbilad sila sa aɾaw
si 'tom 'ʔaj ma'talik na kaʔi'biɡan ni 'meɾi,si tom aj matalik na kaibiɡan ni maɾj
ʔa'noŋ pa'ŋalan ni'toŋ 'pɾutas,ʔanoŋ paŋalan nitoŋ pɾutas?
lumi'pad ʔaŋ ʔi'saŋ bu'bujoɡ pala'bas naŋ bin'tanaʔ,lumipad aŋ isaŋ bubujoɡ palabas ŋ bintana
hu'aɡ ɡuma'waʔ naŋ 'ʔiŋaj sa lo'ʔob naŋ silidʔakla'tan,huwaɡ ɡumawa ŋ iŋaj sa loob ŋ silid-aklatan
maɡaɡa'waʔ ko ʔi'an naŋ maɡʔi'sa,maɡaɡawa ko ijan naŋ maɡ-isa
wa'laʔ ʔa'ko sa 'ʔakiŋ katinu'ʔan na ɡuma'waʔ naŋ tak'daŋ ʔaɾa'lin,wala ako sa akiŋ katinuan na ɡumawa ŋ takdaŋ aɾalin
'bakit,bakit?
ku'muha ka ba naŋ 'peɾa sa 'ʔakin 'ʔoʔo ʔo hin'diʔ,kumuha ka ba ŋ peɾa sa akinˌ oo o hindi?
ʔa'ko ʔaj pu'punta do'ʔon,ʔako aj pupunta doon
tala'ɡaŋ 'bisi si'a bu'ʔoŋ 'ʔaɾaw,talaɡaŋ bisi sija buoŋ aɾaw
pa'taj na si'la,pataj na sila
sa tin'dahaŋ ʔi'to naɡbe'benta ka'mi naŋ 'kahit ʔa'no,sa tindahaŋ itoˌ naɡbebenta kami ŋ kahit ano
hin'diʔ ʔa'ko naɡmumuk'mok,hindi ako naɡmumukmok
naɡpu'jat si'laŋ 'lejt naŋ naɡdadaldal'an,naɡpujat silaŋ lejt naŋ naɡdadaldalan
ʔi'lan ʔaŋ ma'ŋa 'kulaj,ʔilan aŋ mɡa kulaj?
ma'hiliɡ maɡba'sa ʔaŋ 'lolo ko,mahiliɡ maɡbasa aŋ lolo ko
ma'ɾapat ʔaŋ imben'ʃon ni'a naŋ ʔatensi'on,maɾapat aŋ imbensijon nija ŋ atensijon
ɡa'ʔano kada'las mo si'aŋ naki'kita,ɡaano kadalas mo sijaŋ nakikita?
ʔa'lam ko ʔa'noŋ ɡina'waʔ ni 'tom,ʔalam ko anoŋ ɡinawa ni tom
naɡʔiʔi'ba ʔaŋ daʔiɡ'diɡ naŋ pabi'lis naŋ pabi'lis,naɡ-iiba aŋ daiɡdiɡ naŋ pabilis naŋ pabilis
napakasa'ɾap,napakasaɾap!
'ɡusto 'namin ʔaŋ ma'ŋa pik'nik,ɡusto namin aŋ mɡa piknik
'meɾon 'baŋ 'saɡiŋ,meɾon baŋ saɡiŋ?
naɡbi'his ba'baʔe si'a,naɡbihis babae sija
mada'liŋ mabu'hol ʔaŋ si'nulid na ʔi'to,madaliŋ mabuhol aŋ sinulid na ito
kuŋ saka'liŋ ʔa'ʔalis ka 'baɡo maɡ'ʔalas 'siŋko sa'bihin mo sa 'ʔakin,kuŋ sakaliŋ aalis ka baɡo maɡ-alas siŋkoˌ sabihin mo sa akin
pu'noʔ naŋ ʔak'lat i'toŋ ka'hon,puno ŋ aklat itoŋ kahon
ma'husaj maɡla'ɾoʔ naŋ ɡi'taɾa ʔaŋ 'ʔakiŋ 'ʔate,mahusaj maɡlaɾo ŋ ɡitaɾa aŋ akiŋ ate
ʔa'lam na ni 'tom na sinak'tan ni'a si 'meɾi,ʔalam na ni tom na sinaktan nija si maɾj
'naʔis 'koŋ ma'ɡiŋ noɾ'mal ʔu'lit ʔaŋ la'hat,nais koŋ maɡiŋ noɾmal ulit aŋ lahat
ʔaŋ kabi'seɾa naŋ 'haŋɡəɾi ʔaj 'budapest,ʔaŋ kabiseɾa ŋ huŋaɾj aj budapest
ki'lala naŋ ma'ɾamiŋ 'taʔo ʔaŋ muk'haʔ ni'a,kilala ŋ maɾamiŋ tao aŋ mukha nija
nana'tili ʔaŋ la'hat,nanatili aŋ lahat
ʔa'noʔa'no ʔaŋ maʔimumuŋ'kahiʔ 'paɾa ʔi'wasan ʔaŋ paɡhihi'lik,ʔano-ano aŋ maimumuŋkahi paɾa iwasan aŋ paɡhihilik?
ʔuma'ʔasa si'aŋ bumi'sita sa 'paɾis,ʔumaasa sijaŋ bumisita sa paɾis
sa'bihin mo kaj 'tom kuŋ ʔa'no ʔaŋ ʔi'joŋ naɾi'niɡ,sabihin mo kaj tom kuŋ ano aŋ ijoŋ naɾiniɡ
hin'diʔ mo maʔa'ʔaɾiŋ tali'kuɾan ʔaŋ ʔi'joŋ tuŋ'kulin,hindi mo maaaɾiŋ talikuɾan aŋ ijoŋ tuŋkulin
natu'tunan ni 'ben ʔaŋ paɡɡa'waʔ naŋ ʔa'poj na hin'diʔ ɡa'mit ʔaŋ 'pospoɾo,natutunan ni ben aŋ paɡɡawa ŋ apoj na hindi ɡamit aŋ pospoɾo
hin'diʔ ko ʔi'on kasa'lanan,hindi ko ijon kasalanan
'paŋit ʔaŋ ma'ŋa 'ŋipin naŋ 'bataŋ la'laki 'dahil hin'diʔ ni'a si'la sinisipilju'han,paŋit aŋ mɡa ŋipin ŋ bataŋ lalaki dahil hindi nija sila sinisipiljuhan
wa'laŋ 'duda,walaŋ duda
mada'liʔ ʔi'to,madali ito
ɡus'to ko na ʔu'mawit ka naŋ ʔi'saŋ 'ʔawit,ɡusto ko na umawit ka ŋ isaŋ awit
naɡʔa'ʔaɾal ʔa'koŋ maɡsali'taʔ naŋ fili'pino,naɡ-aaɾal akoŋ maɡsalita ŋ filipino
'mas mata'ʔas ka naŋ kala'hatiŋ 'ʔulo kaj'sa sa 'ʔakin,mas mataas ka naŋ kalahatiŋ ulo kajsa sa akin
bina'basa ko ʔaŋ ʔak'lat na ʔi'to,binabasa ko aŋ aklat na ito
'bakit ka'jaʔ ɡus'to 'moŋ ɡa'win ʔaŋ ma'ŋa ɡan'jaŋ 'baɡaj,bakit kaja ɡusto moŋ ɡawin aŋ mɡa ɡaɲaŋ baɡaj?
paɡ'ka maj naŋ'jaɾi paɡbinta'ŋan ʔaŋ taɡa'salin,paɡka maj naŋjaɾiˌ paɡbintaŋan aŋ taɡasalin
na'saʔ 'boston ʔa'ko sa daɾa'tiŋ na liŋ'ɡo,nasa boston ako sa daɾatiŋ na liŋɡo
ʔu'haw ʔa'ko,ʔuhaw ako
hin'diʔ si'la tumak'bo,hindi sila tumakbo
hi'ɡit naŋ pi'toŋ mil'jon ʔaŋ naɡsasali'taʔ naŋ pɾan'ses naŋ ke'bek,hiɡit naŋ pitoŋ miljon aŋ naɡsasalita ŋ pɾanses ŋ kuebek
'ʔunaŋ 'beses 'koŋ maɡda'sal sa 'moske,ʔunaŋ beses koŋ maɡdasal sa moske
kajumaŋ'ɡi ʔaŋ ti'napaj,kajumaŋɡi aŋ tinapaj
pa'puntaŋ 'paɾis ʔa'ko sa o'tonyo,papuntaŋ paɾis ako sa otoɲo
ma'hiɾap ʔi'to,mahiɾap ito
'dapat ʔia'djast mo ʔaŋ 'klak hu'li si'a,dapat iadjast mo aŋ klak huli sija
'bawal ʔi'to sa kaɾa'mihan naŋ ma'ŋa ban'saʔ,bawal ito sa kaɾamihan ŋ mɡa bansa
naʔaʔa'lala ko ʔaŋ masasa'ja 'koŋ 'ʔaɾaw ka'paɡ naki'kita ko ʔi'toŋ lit'ɾato na ʔi'to,naaalala ko aŋ masasaja koŋ aɾaw kapaɡ nakikita ko itoŋ litɾato na ito
