target,predicted
ʔaŋ kaʔala'man naŋ 'wikaʔ ʔaj ʔi'saŋ 'baɡaj ʔaŋ paɡtu'tuɾo ni'to ʔaj ʔi'ba pa,ʔaŋ kaʔala'man naŋ 'wikaʔ ʔaj ʔi'saŋ 'baɡaj ʔaŋ paɡtu'tuɾoʔ ni'to ʔaj ʔi'ba pa
'mas ma'hal ni 'dʒak si 'ben kaj'sa ka'njaŋ sa'ɾili,'mas ma'hal ni 'd͡ʒak si 'ben kaj'sa ka'njaŋ sa'ɾili
mahuhu'li ka sa ʔesku'ela,mahu'huli ka sa ʔesku'ela
ʔipaɡbibi'li mo ba sa 'ʔakin ʔaŋ 'ʔawto mo,ʔipaɡbibi'li mo ba sa 'ʔakin ʔaŋ 'ʔawto mo
tapu'sin 'natin ʔaŋ la'ɾoʔ,tapu'sin 'natin ʔaŋ la'ɾoʔ
maɡsimu'laʔ 'dito,maɡsimu'laʔ 'dito
'bahaj ko ʔi'to,'bahaj ko ʔi'to
mabi'lis na tumiti'bok ʔaŋ 'ʔakiŋ 'pusoʔ,mabi'lis na tumiti'bok ʔaŋ 'ʔakiŋ 'pusoʔ
bumi'li si 'tom naŋ da'lawaŋ 'kopja naŋ lib'ɾo,bumi'li si 'tom naŋ dala'waŋ 'kopja naŋ lib'ɾo
nawa'laʔ na ʔaŋ 'makina naŋ 'ʔoɾas,nawa'laʔ na ʔaŋ 'makina naŋ 'ʔoɾas
bu'moto na,bu'moto na
si'noŋ de'monjo ka ba,'sinoŋ de'monjo ka ba
sinam'paj ko ʔaŋ ˌla'bahin,sinam'paj ko ʔaŋ la'bahin
'sabi naŋ pu'lis sa kani'la pi'ɡil,'sabi naŋ pu'lis sa kani'la pi'ɡil
salu'hin mo si'a,sa'luhin mo si'a
pumaɾi'ni ka sa ʔi'lalim naŋ 'pajoŋ ko 'ʔo mababa'saʔ ka,pumaɾi'ni ka sa ʔi'lalim naŋ 'pajoŋ ko ʔo maba'basa ka
ka'pe pa paki'ʔusap,ka'pe pa paki'ʔusap
sa'baj ta'joʔ ʔuʔu'iʔ,sa'baj 'tajo ʔuʔu'iʔ
pinakamaɡan'daŋ 'ʔaɾaw ʔi'to naŋ 'buhaj ko,pinakamaɡan'daŋ 'ʔaɾaw ʔi'to naŋ 'buhaj ko
'meɾon ka'miŋ 'pusaʔ ʔat 'ʔaso,'meɾon ka'miŋ 'pusaʔ ʔat 'ʔaso
diʔ ko pa na'basa ʔaŋ la'hat naŋ ʔak'lat,diʔ ko pa na'basa ʔaŋ la'hat naŋ ʔak'lat
pu'noʔ ʔaŋ 'bote na naŋ 'tubiɡ,pu'noʔ ʔaŋ 'bote na naŋ 'tubiɡ
'paɾa sa 'ʔakin ʔimpo'sibleŋ saɡu'tin ʔaŋ ta'noŋ ʔi'to,'paɾa sa 'ʔakin ʔimpo'sibleŋ ˌsaɡu'tin ʔaŋ ta'noŋ ʔi'to
ʔa'lam 'koŋ mata'lino ka,ʔa'lam 'koŋ mata'lino ka
na'ʔiwan mo ʔaŋ ʔaj'di mo sa 'bahaj ka'jaʔ hin'diʔ ka makakapa'sok,na'ʔiwan mo ʔaŋ ʔaj'di mo sa 'bahaj ka'jaʔ hin'diʔ ka makaka'pasok
hin'diʔ ka'mi naɡkaˌkama'liʔ,hin'diʔ ka'mi naɡkakama'liʔ
tinataŋ'kilik naŋ ma'ŋa ti'nedjeɾ ʔaŋ ka'njaŋ ma'ŋa ʔak'lat,tinataŋki'lik naŋ ma'ŋa ti'nedjeɾ ʔaŋ ka'njaŋ ma'ŋa ʔak'lat
ʔa'no ʔaŋ su'ʔot mo,ʔa'no ʔaŋ su'ʔot mo
ma'ʔaɡa pa,ma'ʔaɡa pa
'ɡusto naŋ ma'ŋa 'bataŋ makaɾi'niɡ naŋ ʔi'saŋ naˌkaka'takot na 'kwento,ɡus'to naŋ ma'ŋa 'bataŋ makaɾi'niɡ naŋ ʔi'saŋ nakaka'takot na 'kwento
ʔi'to ʔaŋ 'nanaj ko,ʔi'to ʔaŋ 'nanaj ko
ʔuma'lis si'la 'paɾa maɡ'piknik,ʔuma'lis si'la 'paɾa maɡpik'nik
si'a ʔaj ʔina'ɾesto ni'la,si'a ʔaj ʔina'ɾesto ni'la
hin'diʔ ko kinaʔi'laŋaŋ maɡdi'liɡ naŋ ma'ŋa bulak'lak kata'tapos ko 'lamaŋ ʔaj biɡ'laŋ ʔumu'lan,hin'diʔ ko kaʔi'laŋaŋ maɡdi'liɡ naŋ ma'ŋa bulak'lak katata'pos ko 'lamaŋ ʔaj 'biɡlaŋ ʔumu'lan
na'talo ʔa'ko,na'talo ʔa'ko
ʔi'to ʔaŋ taˌlasali'taʔan ko,ʔi'to ʔaŋ talasali'taʔan ko
tumi'ɾa si'aŋ maɡʔi'sa sa 'ɡubat,tumi'ɾa si'aŋ maɡʔi'sa sa 'ɡubat
nakata'naw si'a sa la'bas naŋ bin'tanaʔ,nakata'naw si'a sa la'bas naŋ bin'tanaʔ
ku'malat na sa bu'ʔoŋ 'baɾjo ʔaŋ 't͡ʃismis,ku'malat na sa bu'ʔoŋ 'baɾjo ʔaŋ 't͡ʃismis
napakaɡan'da naŋ ma'ŋa bitu'ʔin,napakaɡan'da naŋ ma'ŋa bitu'ʔin
mala'miɡ kaɡa'bi,mala'miɡ kaɡa'bi
naɡ'baɡo si 'tom,naɡ'baɡo si 'tom
wa'laʔ si'jaŋ 'pensil,wa'laʔ si'aŋ 'pensil
sinu'ɡod ni'la ʔaŋ ʔi'saŋ 'ɡɾupo naŋ ma'ŋa pɾan'ses ʔat pina'taj ʔaŋ sam'puʔ 'dito,sinu'ɡod ni'la ʔaŋ ʔi'saŋ 'ɡɾupo naŋ ma'ŋa pɾan'ses ʔat pina'taj ʔaŋ sam'puʔ 'dito
mala'ki ʔaŋ 'bahaj ko,mala'ki ʔaŋ 'bahaj ko
si'a ʔaj nakakala'ŋoj naŋ 'mas ma'lajoʔ kaj'sa sa 'ʔakin,si'a ʔaj nakakala'ŋoj naŋ 'mas ma'lajoʔ kaj'sa sa 'ʔakin
naˌkaka'takot tala'ɡa ʔaŋ daʔiɡ'diɡ sa la'bas,nakaka'takot tala'ɡa ʔaŋ daʔiɡ'diɡ sa la'bas
ʔa'no ʔaŋ ɡus'toŋ mala'man ni 'tom,ʔa'no ʔaŋ ɡus'toŋ ma'laman ni 'tom
ma'hal ʔa'ko ni 'tom,ma'hal ʔa'ko ni 'tom
hin'diʔ pinaniwala'ʔan naŋ pu'lis ʔaŋ 'kwento ni 'tom,hin'diʔ pinaniwala'ʔan naŋ pu'lis ʔaŋ 'kwento ni 'tom
mali'ʔit 'lamaŋ ʔaŋ bini'sita 'koŋ baɾaŋ'ɡaj sa na'ɡano pɾe'fektʃuɾ no'ʔoŋ nakaɾa'ʔaŋ taɡʔa'ɾaw,mali'ʔit 'lamaŋ ʔaŋ bini'sita 'koŋ baɾaŋ'ɡaj sa naɡa'no pɾi'fektʃəɾ no'ʔoŋ nakaɾa'ʔaŋ taɡa'ɾaw
ɡa'waŋ 'kahoj ʔaŋ kas'tiljo ni'a,ɡa'waŋ 'kahoj ʔaŋ kas'tiljo ni'a
ma'ʔiŋat na ma'ʔiŋat si'a ka'jaʔ hin'diʔ si'a mada'las naɡkaˌkama'liʔ,ma'ʔiŋat na ma'ʔiŋat si'a ka'jaʔ hin'diʔ si'a mada'las naɡkakama'liʔ
ʔi'saŋ 'pusaʔ ʔaŋ luma'bas sa ʔi'lalim naŋ la'mesa,ʔi'saŋ 'pusaʔ ʔaŋ luma'bas sa ʔi'lalim naŋ la'mesa
'bakit ka'jo nandi'an,'bakit ka'jo nandi'an
binibi'niŋ kate'ɾina wa'laʔ na ʔa'koŋ masa'sabi,bini'biniŋ kate'ɾina wa'laʔ na ʔa'koŋ masa'sabi
'dapat naɡtaɡ'poʔ 'tajo naŋ ʔa'las si'ete,'dapat naɡtaɡ'poʔ 'tajo naŋ ʔa'las si'ete
ʔa'no ʔaŋ pabo'ɾito moŋ 'ʔuɾiʔ naŋ paɡ'kaʔin,ʔa'no ʔaŋ pabo'ɾito moŋ 'ʔuɾiʔ naŋ paɡ'kaʔin
kaʔi'laŋan 'koŋ ʔuma'lis,kaʔi'laŋan 'koŋ ʔuma'lis
ʔa'ko 'laŋ ba ʔaŋ kaʔi'biɡan moŋ hin'diʔ ˌd͡ʒapa'nis,ʔa'ko 'laŋ ba ʔaŋ kaʔi'biɡan moŋ hin'diʔ d͡ʒapa'nes
ma'ɾunoŋ si'a naŋ kon'tiŋ ʔiŋ'ɡles,ma'ɾunoŋ si'a naŋ 'kontiŋ ʔiŋ'ɡles
maj 'ɡɾabeŋ pɾo'blema 'tajo 'ɾito,maj 'ɡɾabeŋ pɾo'blema 'tajo 'ɾito
wa'laŋ dahi'lan 'paɾa ma'takot,wa'laŋ dahi'lan 'paɾa ma'takot
naɡʔa'ʔaɾal si'a naŋ ʔiŋ'ɡles 'ʔaɾaw'ʔaɾaw,naɡʔa'ʔaɾal si'a naŋ ʔiŋ'ɡles 'ʔaɾaw'ʔaɾaw
ʔi'saŋ si'ɾena si 'meɾi,ʔi'saŋ si'ɾena si 'meɾi
pawa'laŋ'ɡalaŋ 'poʔ 'peɾo pu'ede ba 'po nin'joŋ sa'bihin sa 'ʔakin kuŋ sa'ʔan ʔaŋ paɡpa'lit naŋ 'tɾen,pawalaŋɡa'laŋ 'poʔ 'peɾo pu'ede ba 'poʔ nin'joŋ sa'bihin sa 'ʔakin kuŋ sa'ʔan ʔaŋ paɡpa'lit naŋ 'tɾen
naɡ'basa ʔa'ko naŋ ʔak'lat kaɡa'bi,naɡ'basa ʔa'ko naŋ ʔak'lat kaɡa'bi
'ʔiŋat,'ʔiŋat
mala'ki ʔaŋ ɡi'nastos sa 'baɡoŋ tu'laj,mala'ki ʔaŋ ɡi'nastos sa 'baɡoŋ tu'laj
maj dala'waŋ ʔa'nak na ba'baʔe si'la,maj da'lawaŋ ʔa'nak na ba'baʔe si'la
ʔa'noŋ 'tɾen ʔaŋ sasakja'nan mo,ʔa'noŋ 'tɾen ʔaŋ sasak'janan mo
ʔa'ko 'ɾin,ʔa'ko 'ɾin
kumikid'lat 'baɡo kumu'loɡ,kumikid'lat 'baɡo kumu'loɡ
tala'ɡaŋ naˌkakaʔi'nis ŋa'jon ʔaj sumasa'kit pa'laɡiʔ ʔaŋ 'ʔulo ko kuŋ ɡuma'ɡamit naŋ kom'pjuteɾ,tala'ɡaŋ nakakaʔi'nis ŋa'jon ʔaj sumasa'kit pa'laɡiʔ ʔaŋ 'ʔulo ko kuŋ ɡuma'ɡamit naŋ kom'pjuteɾ
mala'miɡ ʔaŋ paɡ'kaʔin,mala'miɡ ʔaŋ paɡ'kaʔin
nasa'ʔan ʔaŋ maɡʔaʔa'ɾal,nasa'ʔan ʔaŋ maɡʔa'ʔaɾal
ʔi'ak si'a naŋ ʔi'ak,ʔi'ak si'a naŋ ʔi'ak
hu'aɡ moŋ kalimu'taŋ ʔi'sama ʔa'ko sa mabi'bilaŋ,hu'aɡ moŋ kali'mutaŋ ʔi'sama ʔa'ko sa mabi'bilaŋ
pinaja'ɡan ko ʔaŋ 'ʔakiŋ 'ʔaso na tumak'bo na maj kalaja'ʔan,pina'jaɡan ko ʔaŋ 'ʔakiŋ 'ʔaso na tumak'bo na maj kalaja'ʔan
diʔ 'baɡoŋ ʔaɡ'ham ta'laɡaʔ ʔaŋ ʔastɾono'mia,diʔ 'baɡoŋ ʔaɡ'ham tala'ɡa ʔaŋ ʔastɾono'mia
bili'san mo 'tom,bili'san mo 'tom
nakati'ɾa si'a naŋ sa'ɾili sa 'ɡubat,nakati'ɾa si'a naŋ sa'ɾili sa 'ɡubat
majɾo'ʔon ʔa'koŋ li'maŋ ma'ŋa kaʔi'biɡan,majɾo'ʔon ʔa'koŋ li'maŋ ma'ŋa kaʔi'biɡan
si'ɡuɾo 'tamaʔ ka,si'ɡuɾo 'tamaʔ ka
pa'ʔano ka pumu'punta sa ˌpaʔaɾa'lan,pa'ʔano ka pumu'punta sa ˌpaʔaɾa'lan
ʔi'on ʔaj salamaŋ'kaŋ 'numeɾo,ʔi'on ʔaj sala'maŋkaŋ 'numeɾo
nakatin'diɡ si'a,nakatin'diɡ si'a
na'saʔ kani'la 'juŋ ka'bajo,na'saʔ kani'la 'juŋ ka'bajo
ʔa'no ba ʔaŋ wabi'sabi,ʔa'no ba ʔaŋ wabi'sabi
kuŋ maɡan'da 'bukas maɡpipik'nik 'tajo,kuŋ maɡan'da 'bukas maɡpipik'nik 'tajo
wa'laʔ daw masusu'ʔot si 'meɾi,wa'laʔ daw masusu'ʔot si 'meɾi
ʔa'ko ʔaj ˌmamamaha'jaɡ,ʔa'ko ʔaj ˌmamamaha'jaɡ
si'nisi ko si'a sa kasa'lanan ni'a,si'nisi ko si'a sa kasa'lanan ni'a
ta'kot si'a sa ma'ŋa 'ʔaso,ta'kot si'a sa ma'ŋa 'ʔaso
naɾi'to pa ba si'a no'ʔoŋ ʔi'kaw ʔaj duma'tiŋ,naɾi'to pa ba si'a no'ʔoŋ ʔi'kaw ʔaj duma'tiŋ
diʔ ko ki'ta ʔaŋ kaʔiba'han,diʔ ko ki'ta ʔaŋ kaʔiba'han
ʔi'sa si'aŋ 'naɾs hin'diʔ dok'toɾ,ʔi'sa si'aŋ 'naɾs hin'diʔ dok'toɾ
kaʔi'laŋan ko ta'pusin 'jun,kaʔi'laŋan ko tapu'sin 'jun
naʔi'nom ʔaŋ ma'ŋa ʔele'pante naŋ 'tubiɡ,naʔi'nom ʔaŋ ma'ŋa ʔele'pante naŋ 'tubiɡ
bumi'li si to'mas ʔat ma'ɾia naŋ 'bahaj na maj palaŋu'jan,bumi'li si to'mas ʔat ma'ɾia naŋ 'bahaj na maj pala'ŋujan
binili'san ko ʔumu'iʔ,binili'san ko ʔumu'iʔ
sun'dan mo ʔaŋ 'taʔoŋ ʔi'on,sun'dan mo ʔaŋ 'taʔoŋ ʔi'on
ki'naʔin ni 'tom ʔaŋ 'kendi mo,ki'naʔin ni 'tom ʔaŋ 'kendi mo
pa'ʔano mo ɡus'to ʔaŋ ka'pe mo,pa'ʔano mo ɡus'to ʔaŋ ka'pe mo
ʔa'kalaʔ ni'la hin'diʔ ni'a naɡustu'han ʔaŋ ɾe'ɡalo,ʔa'kalaʔ ni'la hin'diʔ ni'a naɡustu'han ʔaŋ ɾe'ɡalo
masasa'ɾap ʔaŋ kani'laŋ ma'ŋa 'kejk,masasa'ɾap ʔaŋ kani'laŋ ma'ŋa 'kejk
naki'lala ko si'a ki'na 'tom,naki'lala ko si'a 'kina 'tom
ʔa'lam 'ŋaʔ 'namin ʔi'on,ʔa'lam 'ŋaʔ 'namin ʔi'on
ˌbaba'lik si'a 'bukas,ˌbaba'lik si'a 'bukas
hin'diʔ ʔa'ko sasa'ɡot ka'paɡ itata'noŋ ni'a sa 'ʔakin ʔaŋ ta'noŋ na ʔi'on,hin'diʔ ʔa'ko sa'saɡot ka'paɡ itata'noŋ ni'a sa 'ʔakin ʔaŋ ta'noŋ na ʔi'on
ʔaŋ ma'ŋa ʔital'jano ʔaj kuma'kaʔin naŋ 'pasta,ʔaŋ ma'ŋa ʔital'jano ʔaj kuma'kaʔin naŋ 'pasta
si'a ʔaj nakapu'la,si'a ʔaj nakapu'laʔ
ʔi'laŋ maŋ'kok naŋ 'kanin ʔaŋ ki'naʔin mo,ʔi'laŋ maŋ'kok naŋ 'kanin ʔaŋ ki'naʔin mo
ʔinis'toɾbo 'namin si'a,ʔinis'toɾbo 'namin si'a
'ʔoʔo maj maɡan'daŋ ʔi'dea ʔa'ko,'ʔoʔo maj maɡan'daŋ ʔi'dea ʔa'ko
hin'diʔ ʔumu'iʔ sa 'bahaj si 'stiv,hin'diʔ ʔumu'iʔ sa 'bahaj si 'stiv
wa'laʔ ʔa'ko ɾo'ʔon,wa'laʔ ʔa'ko ɾo'ʔon
ʔi'saŋ 'ʔaso ʔaŋ nasaɡasa'ʔan naŋ 'tɾak,ʔi'saŋ 'ʔaso ʔaŋ nasaɡasa'ʔan naŋ 'tɾak
sa'bihin mo sa la'hat na ʔuʔu'iʔ na ʔa'ko,sa'bihin mo sa la'hat na ʔuʔu'iʔ na ʔa'ko
diʔ 'baŋ naɡta'ɡal si'la sa 'bajan,diʔ 'baŋ naɡta'ɡal si'la sa 'bajan
tumak'bo si'a,tumak'bo si'a
'bakit mo ʔa'ko pinaɡsususpe't͡ʃahan,'bakit mo ʔa'ko pinaɡsususpet'sahan
hu'aɡ mo ka'miŋ tawa'ɡan ka'mi ʔaŋ ta'tawaɡ sa'jo,hu'aɡ mo ka'miŋ tawa'ɡan ka'mi ʔaŋ ta'tawaɡ sa'jo
hin'diʔ masa'ɾap ʔaŋ 'pɾutas na ʔi'to,hin'diʔ masa'ɾap ʔaŋ 'pɾutas na ʔi'to
pa'ʔano ka naka'pasok sa 'kwaɾto,pa'ʔano ka naka'pasok sa 'kwaɾto
'dapat ʔi'tapon 'natin ʔaŋ ɡan'jaŋ ʔi'dejaŋ ʔitinak'daʔ,'dapat ʔi'tapon 'natin ʔaŋ ɡan'jaŋ ʔi'dejaŋ ʔitinak'daʔ
hinihi'ŋal si'a,hinihi'ŋal si'a
naɡsimu'laŋ maɡtɾa'baho ʔaŋ kan'jaŋ ʔa'sawa 'dahil sa paŋaŋaʔi'laŋan,naɡsimu'laŋ maɡtɾa'baho ʔaŋ kan'jaŋ ʔa'sawa 'dahil sa paŋaŋaʔi'laŋan
ja'kapin mo si 'tom,ja'kapin mo si 'tom
naɡsasali'taʔ ʔaŋ la'hat sa sansinu'kob wa'laŋ 'baɡaj na diʔ majɾo'ʔon naŋ sa'ɾiliŋ 'wikaʔ,naɡsasali'taʔ ʔaŋ la'hat sa sansinu'kob wa'laŋ 'baɡaj na diʔ majɾo'ʔon naŋ sa'ɾiliŋ 'wikaʔ
kuŋ ʔa'ko sa'jo maɡʔaʔap'lay ʔa'ko sa tɾa'baho,kuŋ ʔa'ko sa'jo maɡʔaʔa'plaj ʔa'ko sa tɾa'baho
ʔa'ɾej mala'kiŋ 'mapa naŋ ʔale'manja,'ʔaɾej mala'kiŋ 'mapa naŋ ʔale'manja
nasa'ʔan 'juŋ lib'ɾo,nasa'ʔan 'juŋ lib'ɾo
nani'ɾahan ʔa'ko sa 't͡ʃina sa lo'ʔob naŋ 'ʔanim na bu'an,nani'ɾahan ʔa'ko sa 't͡ʃina sa lo'ʔob naŋ 'ʔanim na bu'an
tini'tiɡan ni'a ʔaŋ kan'jaŋ ma'ŋa ku'ko,tini'tiɡan ni'a ʔaŋ kan'jaŋ ma'ŋa ku'ko
su'eɾte 'lamaŋ na na'kita ko i'toŋ lib'ɾo sa tin'dahan naŋ ma'ŋa 'lumaŋ lib'ɾo,su'eɾte 'lamaŋ na na'kita ko i'toŋ lib'ɾo sa tin'dahan naŋ ma'ŋa 'lumaŋ lib'ɾo
'sinoŋ maɡsasali'taʔ ŋa'joŋ ɡa'bi,'sinoŋ maɡsasali'taʔ ŋa'joŋ ɡa'bi
maʔa'ʔaɾiʔ 'baŋ maha'waʔ ʔaŋ i'baŋ 'taʔo,maʔa'ʔaɾiʔ 'baŋ maha'waʔ ʔaŋ ʔi'baŋ 'taʔo
naŋi'baŋ ban'saʔ ka na ba,naŋi'baŋ ban'saʔ ka na ba
maɡan'daŋ ʔu'maɡa 'ʔoɾas naŋ ɡu'misiŋ,maɡan'daŋ ʔu'maɡa 'ʔoɾas naŋ ɡu'misiŋ
hu'aɡ tu'mapak sa damu'han,hu'aɡ tu'mapak sa damu'han
nakipaɡkama'jan ʔa'ko sa kani'a,nakipaɡkama'jan ʔa'ko sa kani'a
ʔi'saŋ 'noldo ba ʔaŋ 'nasa ʔi'lalim naŋ 'punoʔ,ʔi'saŋ 'noldo ba ʔaŋ 'nasa ʔi'lalim naŋ 'punoʔ
hin'diʔ kuma'kaʔin naŋ kaɾ'ne 'ʔo ʔit'loɡ si 'tom,hin'diʔ kuma'kaʔin naŋ kaɾ'ne 'ʔo ʔit'loɡ si 'tom
'ʔeto ʔaŋ 'bataŋ la'laki,'ʔeto ʔaŋ 'bataŋ la'laki
pu'nan ʔaŋ 'poɾm ɡa'mit ʔaŋ ʔi'saŋ 'bolpen,pu'nan ʔaŋ 'poɾm ɡa'mit ʔaŋ ʔi'saŋ 'bolpen
ma'ɾami tala'ɡaŋ 'jelo no'ʔoŋ nakali'pas na ta'ʔon,ma'ɾami tala'ɡaŋ 'jelo no'ʔoŋ naka'lipas na ta'ʔon
'sinoŋ 'mas maɡa'liŋ lumi'pad ʔi'saŋ 'laŋaw 'ʔo ʔi'saŋ pi'loto,'sinoŋ 'mas maɡa'liŋ lumi'pad ʔi'saŋ 'laŋaw ʔo ʔi'saŋ pi'loto
sinu'latan ko si'a 'ʔaɾaw'ʔaɾaw,sinu'latan ko si'a 'ʔaɾaw'ʔaɾaw
majɾo'ʔoŋ 'baɡoŋ 'kot͡ʃe ʔaŋ 'ʔakiŋ ʔa'ma,majɾo'ʔoŋ 'baɡoŋ 'kot͡ʃe ʔaŋ 'ʔakiŋ ʔa'ma
'mas matan'daʔ ʔa'ko,'mas matan'daʔ ʔa'ko
mas'jadoŋ maba'ʔit si 'kjoko 'paɾa bu'hatin ʔaŋ ba'ɡahe ko 'paɾa sa 'ʔakin,mas'jadoŋ maba'ʔit si 'kjoko 'paɾa bu'hatin ʔaŋ ba'ɡahe ko 'paɾa sa 'ʔakin
'ʔunaŋ 'beses mo ba ʔi'to sa ha'pon,'ʔunaŋ 'beses mo ba ʔi'to sa ha'pon
ʔina'ɾesto si 'tom ʔu'maɡa naŋ 'lunes,ʔina'ɾesto si 'tom ʔu'maɡa naŋ 'lunes
simu'lan ʔaŋ paɡkan'ta,simu'lan ʔaŋ paɡkan'ta
ʔaŋ ha'pon ʔaj mala'maŋ na kila'lanin sa 'ɡɾupo ni'laŋ pinaŋɡaɡa'liŋan,ʔaŋ 'hapon ʔaj mala'maŋ na kila'lanin sa 'ɡɾupo ni'laŋ pinaŋɡaɡa'liŋan
maj sa'kit ʔaŋ 'lolo ko,maj sa'kit ʔaŋ 'lolo ko
pa'boɾ si'la sa 'plano mo,pa'boɾ si'la sa 'plano mo
ʔaŋ 'bahoʔ naŋ sa'patos mo,ʔaŋ 'bahoʔ naŋ sa'patos mo
ʔaŋ ma'ŋa ʔa'sal ni'a ʔaj hin'diʔ 'tulad naŋ ʔi'saŋ ba'baʔe,ʔaŋ ma'ŋa ʔa'sal ni'a ʔaj hin'diʔ 'tulad naŋ ʔi'saŋ ba'baʔe
ma'babaw pa nakaka'tapak pa ʔa'ko sa ʔi'lalim ma'babaw ʔaŋ dalampa'siɡaŋ ʔi'to jo'tsuba naʔaʔa'pakan mo pa ʔaŋ ʔi'lalim hin'diʔ ba,ma'babaw pa naka'katapak pa ʔa'ko sa ʔi'lalim ma'babaw ʔaŋ dalampa'siɡaŋ ʔi'to jo't͡ʃuba naʔaa'pakan mo pa ʔaŋ ʔi'lalim hin'diʔ ba
maj 'ʔaso si'a,maj 'ʔaso si'a
pu'noʔ ʔi'on,'punoʔ ʔi'on
papun'taŋ 'finland ʔaŋ baɾ'ko,papun'taŋ 'finland ʔaŋ baɾ'ko
hin'diʔ ʔa'ko maɡba'baɡo,hin'diʔ ʔa'ko maɡba'baɡo
'saɡiŋ ʔa'ko,'saɡiŋ ʔa'ko
siɾa'ʔin mo ʔaŋ naˌkaka'siɾaʔ sa ʔi'o,siɾa'ʔin mo ʔaŋ nakaka'siɾaʔ sa ʔi'o
'ʔoɾas la'maŋ ʔaŋ maɡsasa'bi,'ʔoɾas 'lamaŋ ʔaŋ maɡsa'sabi
'tila maj hin'diʔ naɡkaʔintindi'han,'tila maj hin'diʔ naɡkaʔintindi'han
'dati naŋ nahu'li si 'betti 'dahil sa paɡna'nakaw,'dati naŋ nahu'liʔ si 'betti 'dahil sa paɡna'nakaw
mamama'taj ba ʔa'ko hin'diʔ maɡpapahi'ŋa ka,mamama'taj ba ʔa'ko hin'diʔ maɡpapahi'ŋa ka
naɡsa'jaw si'la,naɡsa'jaw si'la
ʔaŋ 'dami 'koŋ hin'diʔ naɡustu'han sa pe'likulaŋ ʔi'on,ʔaŋ 'dami 'koŋ hin'diʔ naɡustu'han sa pe'likulaŋ ʔi'on
maj ʔak'lat ba sa ʔi'babaw naŋ 'mesa,maj ʔak'lat ba sa ʔi'babaw naŋ 'mesa
ma'ɾamiŋ sa'lamat sa 'tuloŋ,ma'ɾamiŋ sa'lamat sa 'tuloŋ
'naʔis 'koŋ maɡba'saʔ,'naʔis 'koŋ maɡba'saʔ
kaʔi'laŋan moŋ bu'maŋon naŋ ʔa'las se'ʔis,kaʔi'laŋan moŋ bu'maŋon naŋ ʔa'las 'seʔis
nasu'noɡ,nasu'noɡ
maj konek'sjon ʔaŋ la'hat,maj konek'ʃon ʔaŋ la'hat
ʔu'lan ʔu'lan lu'majas ka,ʔu'lan ʔu'lan lu'majas ka
maɡda'la naŋ paɡ'kaʔin,maɡda'la maɡda'la paɡ'kaʔin
maj da'lawaŋ kundi'ʃon ʔa'ko,maj dala'waŋ kun'disjon ʔa'ko
wa'laŋ naɡbi'ɡaj sa 'ʔakin ni'an,wa'laŋ naɡbi'ɡaj sa 'ʔakin ni'an
wa'laŋ sa'bon,wa'laŋ 'sabon
madi'lim ka'jaʔ tiŋ'nan ʔaŋ dinada'ʔanan,madi'lim ka'jaʔ tiŋ'nan ʔaŋ dinada'ʔanan
maj maɡaɡan'daŋ ʔaɾkitek'tuɾa ʔaŋ ma'ŋa da'juhaŋ ban'saʔ,maj maɡaɡan'daŋ ʔaɾkitek'tuɾa ʔaŋ ma'ŋa da'juhaŋ ban'saʔ
ɡu'mana ju'ʔon,ɡu'mana ju'ʔon
maput'laŋ ʔa'sul na kuɾ'bata ʔaŋ sinu'ʔot ni'a,maput'laŋ ʔa'sul na kuɾ'bata ʔaŋ sinu'ʔot ni'a
mabu'lok ka sa ʔimpi'eɾno,mabu'lok ka sa ʔimpi'eɾno
dalawam'puŋ paŋ'kat ʔaŋ pu'masok sa toɾ'neo,dalawam'puŋ paŋ'kat ʔaŋ pu'masok sa toɾ'neo
paɡka'tapos naŋ ma'ʔinit na pana'hon na'ɡiŋ mala'miɡ,paɡka'tapos naŋ ma'ʔinit na pana'hon na'ɡiŋ mala'miɡ
'laɡiŋ maɡan'da ʔaŋ sina'sabi tuŋ'kol kaj 'tom,'laɡiŋ maɡan'da ʔaŋ sina'sabi tuŋ'kol kaj 'tom
namu'lok na ʔi'toŋ 'saɡiŋ,namu'lok na i'toŋ 'saɡiŋ
tiŋ'nan mo ʔaŋ ɡina'waʔ ko,tiŋ'nan mo ʔaŋ ɡina'waʔ ko
naɡta'pos ʔaŋ diɡ'maʔan sa taɡum'paj 'paɾa sa ʔa'lajd 'paweɾs,naɡta'pos ʔaŋ diɡ'maʔan sa taɡum'paj 'paɾa sa ə'laid 'pauəɾz
papata'jin si'a naŋ 'ʔamo ni'a,papata'jin si'a naŋ 'ʔamo ni'a
ʔaɡ'ham naŋ sansinu'kob ʔaŋ ʔastɾono'mia,ʔaɡ'ham naŋ sansinu'kob ʔaŋ ʔastɾono'mia
tata'waɡan ʔu'liʔ ki'ta,tata'waɡan ʔu'liʔ ki'ta
kuŋ 'mas posi'tibo 'laŋ si 'tom si'ɡuɾo 'mas maˌɡuɡustu'han si'a naŋ ma'ŋa 'taʔo,kuŋ 'mas posi'tibo 'laŋ si 'tom si'ɡuɾo 'mas maˌɡuɡustu'han si'a naŋ ma'ŋa 'taʔo
naŋʔis'daʔ ka'mi sa 'lawaʔ,naŋis'daʔ ka'mi sa 'lawaʔ
